الملف (قبل النقل)	السطر	قبل	بعد	السبب	المرات
الملاحق/ملحق-د-نصوص-الحلقات.md	9	استعمل هذا الملحق مصدرًا جاهزًا	استعمل هذه السكريبتات مصدرًا جاهزًا	كتاب مرافق: البنية الجديدة	1
الملاحق/ملحق-د-نصوص-الحلقات.md	149	الباب المتصل بها: الباب الثامن (المجالس).	الباب المتصل بها: الباب الثامن (المجالس، في المجلد الثامن).	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	3	الباب المتصل بها: الباب العاشر (المؤسسة).	الباب المتصل بها: الباب العاشر (المؤسسة، في المجلد التاسع).	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	47	الباب المتصل بها: الباب السادس (الأدب).	الباب المتصل بها: الباب السادس (الأدب، في المجلد السادس).	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	89	## ثانيًا: ملخصات حلقات الأبواب الأربع عشرة	## ثانيًا: ملخصات حلقات الأبواب الثلاثة عشر وبنك الأخطاء	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب، والملكة الباب ١٣	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	91	كل باب من أبواب الكتاب له حلقة قائمة بذاته، تختصر جوهر الباب	لكل باب من أبواب السلسلة حلقة قائمة بذاتها، تختصر جوهر الباب	كتاب مرافق: البنية الجديدة	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	93	**١. الباب الأول (الأسس) —	**١. الباب الأول (الأسس، المجلد الأول) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	96	**٢. الباب الثاني (اللسان) —	**٢. الباب الثاني (اللسان، المجلد الثاني) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	99	**٣. الباب الثالث (العبارة) —	**٣. الباب الثالث (العبارة، المجلد الثالث) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	102	**٤. الباب الرابع (البيان) —	**٤. الباب الرابع (البيان، المجلد الرابع) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	105	**٥. الباب الخامس (المقام) —	**٥. الباب الخامس (المقام، المجلد الخامس) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	108	**٦. الباب السادس (الأدب) —	**٦. الباب السادس (الأدب، المجلد السادس) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	111	**٧. الباب السابع (الحوار) —	**٧. الباب السابع (الحوار، المجلد السابع) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	114	**٨. الباب الثامن (المجالس) —	**٨. الباب الثامن (المجالس، المجلد الثامن) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	117	**٩. الباب التاسع (المنبر والمنصة) —	**٩. الباب التاسع (المنبر والمنصة، المجلد الثامن) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	120	**١٠. الباب العاشر (المؤسسة) —	**١٠. الباب العاشر (المؤسسة، المجلد التاسع) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	123	**١١. الباب الحادي عشر (الإعلام والتقديم) —	**١١. الباب الحادي عشر (الإعلام والتقديم، المجلد العاشر) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	126	**١٢. الباب الثاني عشر (الدبلوماسية والتواصل الرسمي) —	**١٢. الباب الثاني عشر (الدبلوماسية والتواصل الرسمي، المجلد العاشر) —	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-د-نصوص-الحلقات-٢.md	129	**١٣. الباب الثالث عشر (بنك الأخطاء) — «الأخطاء التي تُسمع من أول جملة»**⏎حلقة خاصة تجمع مقتطفات من الحلقات السابقة كلها، معروضة أخطاء متتابعة سريعة (نطقية، ونحوية، وأسلوبية، ومقامية) يعقب كل مقطع منها الراوي بجملة تصحيح واحدة. تصلح مراجعة ختامية لموسم كامل من الحلقات.⏎⏎**١٤. الباب الرابع عشر (الملكة) — «ثوانٍ عشر لا أكثر»**⏎حلقة ختامية عن الارتجال: كيف يقف المتكلم في موقف لم يستعد له مطلقًا فيؤدي بمنهج «الثواني العشر للتفكير» أداءً مقبولًا بلا تحضير مسبق. المشهد المحوري: متدرب يُطلب منه فجأة أن يتحدث دقيقة كاملة أمام الحضور في مناسبة لم يكن يتوقع الكلام فيها، فينجح بفضل التدريب المتراكم من الحلقات السابقة كلها.	**١٣. الباب الثالث عشر (الملكة، المجلد العاشر) — «ثوانٍ عشر لا أكثر»**⏎حلقة ختامية عن الارتجال: كيف يقف المتكلم في موقف لم يستعد له مطلقًا فيؤدي بمنهج «الثواني العشر للتفكير» أداءً مقبولًا بلا تحضير مسبق. المشهد المحوري: متدرب يُطلب منه فجأة أن يتحدث دقيقة كاملة أمام الحضور في مناسبة لم يكن يتوقع الكلام فيها، فينجح بفضل التدريب المتراكم من الحلقات السابقة كلها.⏎⏎**١٤. بنك الأخطاء (المرجع الأول، في المجلد الحادي عشر) — «الأخطاء التي تُسمع من أول جملة»**⏎حلقة خاصة تجمع مقتطفات من الحلقات السابقة كلها، معروضة أخطاء متتابعة سريعة (نطقية، ونحوية، وأسلوبية، ومقامية) يعقب كل مقطع منها الراوي بجملة تصحيح واحدة. تصلح مراجعة ختامية لموسم كامل من الحلقات.	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب، والملكة الباب ١٣؛ فتتقدّم حلقة الملكة وتليها حلقة بنك الأخطاء	1
الافتتاحية/18-كيف-تقرأ-المجلدات-وعهد-المؤلف.md	—	(إعادة كتابة؛ الفرق في git)	§١ على الأحد عشر، ومعه «لماذا هذا الترتيب؟» وقدرات نهاية التأسيس الست؛ §٢ الأبعاد العشرة وطريق المهارة ومثالها وحلقة النموذج ← الأبعاد ← التشخيص ← الطريق ← الإعادة؛ §٤ طريقة الاستعمال والرموز وسلّم الرسمية والمدرّب والكتابان المرافقان وشرط التأسيس؛ «أحد عشر مجلدًا» في العهد	الدليل ١١٢د §٤؛ مادة 02-مدخل و03-كيف-تستعمل وفاتحة الجزء الأول و01-المقدمة	1
00-كلمة-المؤلف.md	19	وجعلتُه في ثمانية مجلدات، تتدرّج بقارئها في أربع مراحل، ثم تضع بين يديه مرجعًا يعود إليه:⏎⏎- **مرحلة التأسيس**، في ثلاثة مجلدات: «الأصول»، وفيه هذه المقدمة وأسس الكلام؛ ثم «اللسان»، في صحة الصوت؛ ثم «العبارة والبيان»، من استقامة الجملة إلى حسن ترتيب الكلام.⏎- **مرحلة التواصل**، في مجلدين: «المقام»، ثم «الأدب والحوار».⏎- **مرحلة المنصّات**، في مجلدٍ واحد: المجلس، والمنبر، والمؤسسة.⏎- **مرحلة التمكين**، في مجلدٍ واحد: الإعلام، والخطاب الرسمي، والملكة حين يصير الصواب عادةً، والارتجال قدرةً، والخطأ درسًا لا عثرة.⏎- **ثم المرجع**: بنك الأخطاء، والملاحق، والفهارس.	وجعلتُه في أحد عشر مجلدًا: عشرةٌ تتدرّج بقارئها في أربع مراحل وثلاثة عشر بابًا، ثم مجلدٌ مرجعٌ يضعه بين يديه يعود إليه:⏎⏎- **مرحلة التأسيس**، في أربعة مجلدات: «الأصول»، وفيه هذه المقدمة وأسس الكلام؛ ثم «اللسان»، في صحة الصوت؛ ثم «العبارة»، في استقامة الجملة؛ ثم «البيان»، في حسن ترتيب الكلام.⏎- **مرحلة التواصل**، في ثلاثة مجلدات: «المقام»، ثم «الأدب»، ثم «الحوار».⏎- **مرحلة المنصّات**، في مجلدين: «المجالس والمنبر»، ثم «المؤسسة».⏎- **مرحلة التمكين**، في مجلدٍ واحد: الإعلام، والخطاب الرسمي، والملكة حين يصير الصواب عادةً، والارتجال قدرةً، والخطأ درسًا لا عثرة.⏎- **ثم «مرجع المتكلّم العربي»**: بنك الأخطاء والتعبيرات والنماذج، والمسرد، والمصادر، والفهارس؛ وهو خارجٌ عن ترقيم الأبواب والمستويات.	البنية النهائية: أحد عشر مجلدًا (الدليل ١١٢ج–١١٢د)	1
المجلد-الثامن/الباب-التاسع/ف01-أ-المدخل-وبناء-الخطبة.md	209	(انظر الباب الثالث عشر، الفصل الأول)	(انظر بنك الأخطاء، الفصل الأول، في المجلد الحادي عشر)	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-التاسع/الباب-العاشر/ف01-ب-الأسئلة-والمحاكاة.md	607	(انظر الباب الثالث عشر، الفصل الثاني)	(انظر بنك الأخطاء، الفصل الثاني، في المجلد الحادي عشر)	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-العاشر/الباب-الحادي-عشر/ف03-ج-التطبيق-والتقويم.md	58	*(انظر بنك أخطاء المستعربين، الباب الثالث عشر)*	*(انظر بنك الأخطاء، في المجلد الحادي عشر)*	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/00-فاتحة-بنك-الأخطاء.md	1	# الباب الثالث عشر: بنك الأخطاء	# المرجع الأول: بنك الأخطاء	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف01-أ-اللحن-في-القرآن.md	5	*(الباب الثالث عشر: بنك الأخطاء، مرجع لكل المستويات.	*(المرجع الأول: بنك الأخطاء، مرجع لكل المستويات.	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف02-الخطأ-في-السلام-والبسملة-والحمدلة.md	5	*(الباب الثالث عشر: بنك الأخطاء، مرجع لكل المستويات.	*(المرجع الأول: بنك الأخطاء، مرجع لكل المستويات.	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف03-أخطاء-النطق-الأصوات-الحرجة.md	5	*(الباب الثالث عشر: بنك الأخطاء، مرجع لكل المستويات.	*(المرجع الأول: بنك الأخطاء، مرجع لكل المستويات.	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف04-أ-الأخطاء-النحوية-والصرفية-والمعجمية-والتركيبية.md	5	*(الباب الثالث عشر: بنك الأخطاء، مرجع لكل المستويات.	*(المرجع الأول: بنك الأخطاء، مرجع لكل المستويات.	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف05-الأسلوب-والثقافة-والمقام.md	5	*(الباب الثالث عشر: بنك الأخطاء، مرجع لكل المستويات.	*(المرجع الأول: بنك الأخطاء، مرجع لكل المستويات.	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف06-الصوت-والسرعة-وترتيب-الأفكار.md	5	*(الباب الثالث عشر: بنك الأخطاء، مرجع لكل المستويات.	*(المرجع الأول: بنك الأخطاء، مرجع لكل المستويات.	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف07-المقابلات-والخطابة-والإعلام-والعلماء.md	5	*(الباب الثالث عشر: بنك الأخطاء، مرجع لكل المستويات.	*(المرجع الأول: بنك الأخطاء، مرجع لكل المستويات.	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف08-الخروج-عن-الموضوع-والتكلف.md	5	*(الباب الثالث عشر: بنك الأخطاء، مرجع لكل المستويات.	*(المرجع الأول: بنك الأخطاء، مرجع لكل المستويات.	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/00-فاتحة-بنك-الأخطاء.md	5	هذا الباب	هذا المرجع	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	10
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف01-أ-اللحن-في-القرآن.md	23	هذا الباب	هذا المرجع	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	2
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف04-ب-الأخطاء-الصرفية-والمعجمية-والتركيبية.md	247	هذا الباب	هذا المرجع	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف05-الأسلوب-والثقافة-والمقام.md	5	هذا الباب	هذا المرجع	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	2
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف06-الصوت-والسرعة-وترتيب-الأفكار.md	11	هذا الباب	هذا المرجع	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	2
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف07-المقابلات-والخطابة-والإعلام-والعلماء.md	13	هذا الباب	هذا المرجع	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	2
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف08-الخروج-عن-الموضوع-والتكلف.md	15	هذا الباب	هذا المرجع	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	3
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/00-فاتحة-بنك-الأخطاء.md	41	### أهداف الباب⏎⏎في نهاية الباب يكون المتدرب قادرًا على أن:	### أهداف بنك الأخطاء⏎⏎يكون المتدرب بعد العمل بهذا المرجع قادرًا على أن:	بنك الأخطاء مرجعٌ خارج ترقيم الأبواب (المرجع الأول)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف01-أ-اللحن-في-القرآن.md	5	فصل في قسمين: هذا الملف للقرآن الكريم، والملف التالي	فصل في قسمين: هذا القسم للقرآن الكريم، والقسم التالي	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف01-أ-اللحن-في-القرآن.md	130	**إلى الملف التالي:** يتابع هذا الفصل في «ف٠١-ب-اللحن-في-الحديث-والأذكار.md» ببطاقات	**إلى القسم التالي:** يتابع هذا الفصل ببطاقات	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف04-أ-الأخطاء-النحوية-والصرفية-والمعجمية-والتركيبية.md	5	هذا الملف للأخطاء النحوية، والملف التالي	هذا القسم للأخطاء النحوية، والقسم التالي	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف04-أ-الأخطاء-النحوية-والصرفية-والمعجمية-والتركيبية.md	240	*(يتبع هذا الفصل في الملف التالي	*(يتبع هذا الفصل في القسم التالي	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف04-ب-الأخطاء-الصرفية-والمعجمية-والتركيبية.md	5	*(تابع للملف السابق «ف٠٤-أ» الذي عالج	*(تابع للقسم السابق الذي عالج	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/ف04-ب-الأخطاء-الصرفية-والمعجمية-والتركيبية.md	5	يكمل هذا الملف ال	يكمل هذا القسم ال	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-العاشر/الباب-الثالث-عشر/ف01-أ-المدخل-وسلم-الارتجال.md	5	*(الباب الرابع عشر: الملكة، المستوى ١٢. الفصل محوري، وهو في ثلاثة ملفات: هذا الملف للمدخل ولثلاث درجات من سلّم الارتجال المتدرج، والملف الثاني لثلاث درجات أخرى وللحوار الممتد، والملف الثالث لبنك المواقف والتدريبات والتقويم.)*	*(الباب الرابع عشر: الملكة، المستوى ١٢. الفصل محوري، وهو في ثلاثة أقسام: هذا القسم للمدخل ولثلاث درجات من سلّم الارتجال المتدرج، والملف الثاني لثلاث درجات أخرى وللحوار الممتد، والملف الثالث لبنك المواقف والتدريبات والتقويم.)*	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-العاشر/الباب-الثالث-عشر/ف01-ب-سلم-الارتجال-والحوار-الممتد.md	5	*(تابع الفصل الأول من الباب الرابع عشر. في هذا الملف: العودة بعد الانقطاع، والدرجات الرابعة والخامسة والسادسة من سلّم الارتجال، ثم الحوار الممتد الذي يحل الموقف المعلّق في مطلع الفصل.)*	*(تابع الفصل الأول من الباب الرابع عشر. في هذا القسم: العودة بعد الانقطاع، والدرجات الرابعة والخامسة والسادسة من سلّم الارتجال، ثم الحوار الممتد الذي يحل الموقف المعلّق في مطلع الفصل.)*	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-العاشر/الباب-الثالث-عشر/ف02-أ-المدخل-والمحاكاة-الأولى.md	5	*(الباب الرابع عشر: الملكة، المستوى ١٢. الفصل في ثلاثة ملفات: هذا للمدخل ولثلاث محاكاات (المقابلة، والمداخلة، والمحاضرة القصيرة)، والثاني لأربع محاكاات أخرى (الحوار، والموقف الاجتماعي، والموقف الإداري، والموقف العلمي)، والثالث لبطاقات المفاجآت والتدريبات والتقويم.)*	*(الباب الرابع عشر: الملكة، المستوى ١٢. الفصل في ثلاثة أقسام: هذا للمدخل ولثلاث محاكاات (المقابلة، والمداخلة، والمحاضرة القصيرة)، والثاني لأربع محاكاات أخرى (الحوار، والموقف الاجتماعي، والموقف الإداري، والموقف العلمي)، والثالث لبطاقات المفاجآت والتدريبات والتقويم.)*	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-العاشر/الباب-الثالث-عشر/ف02-ب-المحاكاة-الثانية.md	5	*(تابع الفصل الثاني من الباب الرابع عشر. في هذا الملف: المحاكاات الأربع الباقية، وفيها الحوار الممتد المطلوب لهذا الفصل.)*	*(تابع الفصل الثاني من الباب الرابع عشر. في هذا القسم: المحاكاات الأربع الباقية، وفيها الحوار الممتد المطلوب لهذا الفصل.)*	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-ب-يوم-الأداء-الختامي.md	5	*(تابع الفصل الثالث من الباب الرابع عشر. في هذا الملف: وصف يوم الأداء الختامي، والحوار الممتد الذي يحل موقف عمر المعلّق، وبنك مواقف يوم التخرج.)*	*(تابع الفصل الثالث من الباب الرابع عشر. في هذا القسم: وصف يوم الأداء الختامي، والحوار الممتد الذي يحل موقف عمر المعلّق، وبنك مواقف يوم التخرج.)*	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-ج-التطبيق-والتقويم-والخاتمة.md	5	*(تابع الفصل الثالث من الباب الرابع عشر، وهو خاتمة أفصال الكتاب. في هذا الملف: خطة الاستمرار بعد الكتاب، والتدريبات الإحدى عشرة، والتقويم، وخلاصة الفصل ومعيار إتقانه، ثم كلمة أخيرة إلى القارئ.)*	*(تابع الفصل الثالث من الباب الرابع عشر، وهو خاتمة أفصال الكتاب. في هذا القسم: خطة الاستمرار بعد الكتاب، والتدريبات الإحدى عشرة، والتقويم، وخلاصة الفصل ومعيار إتقانه، ثم كلمة أخيرة إلى القارئ.)*	لا لغة ملفاتٍ وإنتاجٍ في النص المطبوع	1
المجلد-الأول/الباب-الأول/ف02-ب-الدرس-الثاني.md	266	باب الرابع عشر	باب الثالث عشر	الملكة الباب ١٣ بعد خروج بنك الأخطاء من ترقيم الأبواب	2
المجلد-العاشر/الباب-الثالث-عشر/00-فاتحة-الباب-الثالث-عشر.md	1	باب الرابع عشر	باب الثالث عشر	الملكة الباب ١٣ بعد خروج بنك الأخطاء من ترقيم الأبواب	2
المجلد-العاشر/الباب-الثالث-عشر/ف01-أ-المدخل-وسلم-الارتجال.md	5	باب الرابع عشر	باب الثالث عشر	الملكة الباب ١٣ بعد خروج بنك الأخطاء من ترقيم الأبواب	1
المجلد-العاشر/الباب-الثالث-عشر/ف01-ب-سلم-الارتجال-والحوار-الممتد.md	5	باب الرابع عشر	باب الثالث عشر	الملكة الباب ١٣ بعد خروج بنك الأخطاء من ترقيم الأبواب	1
