الملف	السطر	المجلد	القاعدة	النص	التصنيف	الإجراء
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	209	1	رمز المثال	[م١-ب١-ف١-مث٦]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٦] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	213	1	رمز المثال	[م١-ب١-ف١-مث٧]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٧] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	217	1	رمز المثال	[م١-ب١-ف١-مث٨]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٨] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	221	1	رمز المثال	[م١-ب١-ف١-مث٩]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٩] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	226	1	رمز المثال	[م١-ب١-ف١-مث١٠]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١٠] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	236	1	رمز المثال	[م١-ب١-ف١-مث١١]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١١] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	240	1	رمز المثال	[م١-ب١-ف١-مث١٢]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١٢] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	244	1	رمز المثال	[م١-ب١-ف١-مث١٣]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١٣] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	248	1	رمز المثال	[م١-ب١-ف١-مث١٤]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١٤] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	252	1	رمز المثال	[م١-ب١-ف١-مث١٥]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١٥] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	264	1	رمز المثال	[م١-ب١-ف١-مث١٦]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١٦] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	268	1	رمز المثال	[م١-ب١-ف١-مث١٧]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١٧] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	272	1	رمز المثال	[م١-ب١-ف١-مث١٨]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١٨] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	276	1	رمز المثال	[م١-ب١-ف١-مث١٩]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١٩] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	286	1	رمز المثال	[م١-ب١-ف١-مث٢٠]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢٠] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	290	1	رمز المثال	[م١-ب١-ف١-مث٢١]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢١] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	294	1	رمز المثال	[م١-ب١-ف١-مث٢٢]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢٢] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	298	1	رمز المثال	[م١-ب١-ف١-مث٢٣]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢٣] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	302	1	رمز المثال	[م١-ب١-ف١-مث٢٤]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢٤] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	312	1	رمز المثال	[م١-ب١-ف١-مث٢٥]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢٥] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	314	1	رمز المثال	[م١-ب١-ف١-مث٢٦]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢٦] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	316	1	رمز المثال	[م١-ب١-ف١-مث٢٧]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢٧] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	318	1	رمز المثال	[م١-ب١-ف١-مث٢٨]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢٨] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	320	1	رمز المثال	[م١-ب١-ف١-مث٢٩]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢٩] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	339	1	رمز المثال	[م١-ب١-ف١-مث٣٠]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣٠] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	111	1	رمز المثال	[م١-ب١-ف١-مث٣١]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣١] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	115	1	رمز المثال	[م١-ب١-ف١-مث٣٢]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣٢] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	123	1	رمز المثال	[م١-ب١-ف١-مث٣٣]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣٣] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	127	1	رمز المثال	[م١-ب١-ف١-مث٣٤]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣٤] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	131	1	رمز المثال	[م١-ب١-ف١-مث٣٥]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣٥] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	139	1	رمز المثال	[م١-ب١-ف١-مث٣٦]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣٦] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	143	1	رمز المثال	[م١-ب١-ف١-مث٣٧]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣٧] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	151	1	رمز المثال	[م١-ب١-ف١-مث٣٨]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣٨] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	155	1	رمز المثال	[م١-ب١-ف١-مث٣٩]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣٩] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	163	1	رمز المثال	[م١-ب١-ف١-مث٤٠]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤٠] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	167	1	رمز المثال	[م١-ب١-ف١-مث٤١]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤١] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	186	1	رمز المثال	[م١-ب١-ف١-مث٤٢]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤٢] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	188	1	رمز المثال	[م١-ب١-ف١-مث٤٣]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤٣] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	190	1	رمز المثال	[م١-ب١-ف١-مث٤٤]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤٤] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	192	1	رمز المثال	[م١-ب١-ف١-مث٤٥]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤٥] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	194	1	رمز المثال	[م١-ب١-ف١-مث٤٦]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤٦] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	196	1	رمز المثال	[م١-ب١-ف١-مث٤٧]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤٧] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	198	1	رمز المثال	[م١-ب١-ف١-مث٤٨]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤٨] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	200	1	رمز المثال	[م١-ب١-ف١-مث٤٩]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤٩] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	202	1	رمز المثال	[م١-ب١-ف١-مث٥٠]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٥٠] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	204	1	رمز المثال	[م١-ب١-ف١-مث٥١]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٥١] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-ج-التطبيق-والتقويم.md	307	1	إحالة	في الباب الثاني	يُصحّح	يُزاد المجلد: «في المجلد 2، …»
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	5	1	المستوى ن	المستوى ٠	يُصحّح	المستوى 1
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	215	1	رمز المثال	[م١-ب١-ف٢-مث١]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	219	1	رمز المثال	[م١-ب١-ف٢-مث٢]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	223	1	رمز المثال	[م١-ب١-ف٢-مث٣]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٣] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	235	1	رمز المثال	[م١-ب١-ف٢-مث٤]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٤] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	239	1	رمز المثال	[م١-ب١-ف٢-مث٥]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٥] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	243	1	رمز المثال	[م١-ب١-ف٢-مث٦]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٦] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	255	1	رمز المثال	[م١-ب١-ف٢-مث٧]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٧] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	259	1	رمز المثال	[م١-ب١-ف٢-مث٨]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٨] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	263	1	رمز المثال	[م١-ب١-ف٢-مث٩]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٩] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	275	1	رمز المثال	[م١-ب١-ف٢-مث١٠]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١٠] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	279	1	رمز المثال	[م١-ب١-ف٢-مث١١]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١١] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	283	1	رمز المثال	[م١-ب١-ف٢-مث١٢]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١٢] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	295	1	رمز المثال	[م١-ب١-ف٢-مث١٣]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١٣] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	301	1	رمز المثال	[م١-ب١-ف٢-مث١٤]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١٤] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	305	1	رمز المثال	[م١-ب١-ف٢-مث١٥]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١٥] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	319	1	رمز المثال	[م١-ب١-ف٢-مث١٦]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١٦] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	323	1	رمز المثال	[م١-ب١-ف٢-مث١٧]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١٧] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	327	1	رمز المثال	[م١-ب١-ف٢-مث١٨]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١٨] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	342	1	رمز المثال	[م١-ب١-ف٢-مث١٩]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث١٩] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	348	1	رمز المثال	[م١-ب١-ف٢-مث٢٠]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢٠] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	352	1	رمز المثال	[م١-ب١-ف٢-مث٢١]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢١] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	358	1	إحالة	في الباب الثاني	يُصحّح	يُزاد المجلد: «في المجلد 2، …»
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	364	1	رمز المثال	[م١-ب١-ف٢-مث٢٢]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢٢] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	368	1	رمز المثال	[م١-ب١-ف٢-مث٢٣]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢٣] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	372	1	رمز المثال	[م١-ب١-ف٢-مث٢٤]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢٤] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	378	1	إحالة	في الباب الرابع	يُصحّح	يُزاد المجلد: «في المجلد 4، …»
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	384	1	رمز المثال	[م١-ب١-ف٢-مث٢٥]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢٥] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	388	1	رمز المثال	[م١-ب١-ف٢-مث٢٦]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢٦] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	400	1	رمز المثال	[م١-ب١-ف٢-مث٢٧]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢٧] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	404	1	رمز المثال	[م١-ب١-ف٢-مث٢٨]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢٨] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	408	1	رمز المثال	[م١-ب١-ف٢-مث٢٩]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٢٩] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	424	1	رمز المثال	[م١-ب١-ف٢-مث٣٠]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٣٠] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	426	1	رمز المثال	[م١-ب١-ف٢-مث٣١]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٣١] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	428	1	رمز المثال	[م١-ب١-ف٢-مث٣٢]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٣٢] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	430	1	رمز المثال	[م١-ب١-ف٢-مث٣٣]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٣٣] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	432	1	رمز المثال	[م١-ب١-ف٢-مث٣٤]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٣٤] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	434	1	رمز المثال	[م١-ب١-ف٢-مث٣٥]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٣٥] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	440	1	رمز المثال	[م١-ب١-ف٢-مث٣٦]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٣٦] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف02-ب-الدرس-الثاني.md	74	1	رمز المثال	[م١-ب١-ف٢-مث٣٧]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف٢-مث٣٧] (يُحوَّل عند الإخراج)
