البوابة	الفحص	الحكم	التفصيل
التقنية	المحتويات: كل مدخلٍ على الصفحة التي تفتتحه، وعليها رتبة الفصل	يجتاز	٩ مدخلًا
التقنية	الإشارات المرجعية (Bookmarks)	يجتاز	١٢ إشارة؛ في المستوى الأول: المقدّمات، الباب السابع: الحوار
التقنية	بيانات الملف: العنوان والمؤلف، بلا وسم المراجعة	يجتاز	صناعة المتكلّم العربي — المجلد السابع: الحوار؛ أحمد بن إبراهيم السليمي؛ المجلد السابع: الحوار
التقنية	الحواشي كلها في الصفحات (حواشي صفحة بـPaged.js)	يجتاز	٠ حاشية
التقنية	إحالات الباب السابع إلى فصوله (١–٧)	يجتاز	
العلمية	الثبت (الدليل ٣٤ §٤)	للعلم	لا حواشي في هذا المجلد، فلا ثبت له؛ ولا يدخل ثبتًا كتابٌ لم يُحَل إليه
الحرفية	لا نصّ أصغر من ٧.٨ نقطة (الرموز، وسلّم الرسمية، والجهاز العلمي، والحواشي، وأرقام الصفحات)	يجتاز	أصغر المقاسات المستعملة: SourceSerif4 ٦.٤ (×٩)، IBMPlexSansArabic ٧.٨ (×٥٣٠)، Changa ٧.٨ (×٩٦٠)، IBMPlexSansArabic ٨.٠ (×٦٤)، IBMPlexSansArabic ٨.٢ (×١٣)، SourceSerif4 ٨.٢ (×١)، Amiri ٨.٢ (×٨٨)، Changa ٨.٣ (×٧٩٤)، IBMPlexSansArabic ٨.٤ (×١٣)
النشر	لا «نسخة المراجعة» ولا «ليست للنشر» في النسخة النهائية (المتن، والرأس، والخاتمة، وبيانات الملف)	يجتاز	لا شيء
النشر	بيانات النشر مطابقةٌ للدليل (الناشر وتواصله، والسنتان، والطبعة، والمؤلف، والمجلد)	يجتاز	كلها مطابقة، وصفحة بيانات النشر و
النشر	ردمك المجلد والمجموعة ورقم الإيداع ومكان النشر (يصدرها الناشر؛ لا يُطبع بدلها نصٌّ مؤقت)	ينتظر الناشر	لم يصدر بعد: ردمك المجلد، ردمك المجموعة، رقم الإيداع، مكان النشر؛ وسطورها غير مطبوعة
التقنية	فهرس المحتويات بأرقام صفحاته	يجتاز	لا مدخل بلا رقم
التقنية	فهارس المجلد (الآيات، والأحاديث والآثار، والأشعار، والأعلام، والمصطلحات، والمصادر بالصفحة) — الدليل ١١١ §٤	لم يُبنَ	لم تُبنَ بعدُ أداة الفهارس؛ والثبت حاضر
التربوية	مسرد مصطلحات المجلد (الدليل ٣٩)	لم يُبنَ	المسرد العام في المجلد الحادي عشر؛ ولا مسرد للمجلد بعد

الصفحة	ما يُراجَع
١٣٢	آخر صفحةٍ في قسمها شبه فارغة (١١٪)

الملف	السطر	نوع الوسم	نصّه
المجلد-السابع/الباب-السابع/ف01-أ-السؤال-المدخل-والدرس-الأول.md	93	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف01-أ-السؤال-المدخل-والدرس-الأول.md	99	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف01-أ-السؤال-المدخل-والدرس-الأول.md	105	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف01-أ-السؤال-المدخل-والدرس-الأول.md	174	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-السابع/الباب-السابع/ف01-أ-السؤال-المدخل-والدرس-الأول.md	229	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف01-أ-السؤال-المدخل-والدرس-الأول.md	406	تحليل حديث	تحليل حديث
المجلد-السابع/الباب-السابع/ف01-أ-السؤال-المدخل-والدرس-الأول.md	413	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف01-ب-السؤال-الدرس-الثاني.md	92	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف01-ب-السؤال-الدرس-الثاني.md	126	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف01-ب-السؤال-الدرس-الثاني.md	128	يحتاج إلى تحقق	ابن جماعة، تذكرة السامع والمتكلم؛ يحتاج إلى تحقق من المصدر
المجلد-السابع/الباب-السابع/ف02-أ-الجواب-المدخل-والدرس-الأول.md	88	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف02-أ-الجواب-المدخل-والدرس-الأول.md	155	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-السابع/الباب-السابع/ف02-أ-الجواب-المدخل-والدرس-الأول.md	172	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف02-أ-الجواب-المدخل-والدرس-الأول.md	293	تحليل حديث	تحليل حديث
المجلد-السابع/الباب-السابع/ف02-أ-الجواب-المدخل-والدرس-الأول.md	302	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف02-ب-الجواب-الدرس-الثاني.md	88	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-السابع/الباب-السابع/ف02-ب-الجواب-الدرس-الثاني.md	90	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف02-ب-الجواب-الدرس-الثاني.md	120	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-السابع/الباب-السابع/ف02-ب-الجواب-الدرس-الثاني.md	122	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف02-ب-الجواب-الدرس-الثاني.md	180	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-السابع/الباب-السابع/ف03-أ-الاستيضاح-وإعادة-الصياغة.md	63	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف03-أ-الاستيضاح-وإعادة-الصياغة.md	67	تحليل حديث	تحليل حديث
المجلد-السابع/الباب-السابع/ف03-أ-الاستيضاح-وإعادة-الصياغة.md	67	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف04-أ-المداخلة-والمناقشة.md	61	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف04-أ-المداخلة-والمناقشة.md	61	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف04-أ-المداخلة-والمناقشة.md	65	تحليل حديث	تحليل حديث
المجلد-السابع/الباب-السابع/ف04-أ-المداخلة-والمناقشة.md	65	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف05-أ-الإقناع-المدخل-والدرس-الأول.md	77	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف05-أ-الإقناع-المدخل-والدرس-الأول.md	86	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف05-أ-الإقناع-المدخل-والدرس-الأول.md	98	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف05-أ-الإقناع-المدخل-والدرس-الأول.md	304	تحليل حديث	تحليل حديث
المجلد-السابع/الباب-السابع/ف05-أ-الإقناع-المدخل-والدرس-الأول.md	342	تحليل حديث	تحليل حديث
المجلد-السابع/الباب-السابع/ف05-أ-الإقناع-المدخل-والدرس-الأول.md	344	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف05-أ-الإقناع-المدخل-والدرس-الأول.md	349	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف05-ب-الإقناع-الدرس-الثاني.md	118	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-السابع/الباب-السابع/ف05-ب-الإقناع-الدرس-الثاني.md	171	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف05-ب-الإقناع-الدرس-الثاني.md	261	تحليل حديث	تحليل حديث
المجلد-السابع/الباب-السابع/ف06-أ-المناظرة-وأدبها.md	57	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف06-أ-المناظرة-وأدبها.md	61	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-السابع/الباب-السابع/ف06-أ-المناظرة-وأدبها.md	61	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-السابع/الباب-السابع/ف07-أ-النقد-والنصيحة-المدخل-والدرس-الأول.md	61	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف07-أ-النقد-والنصيحة-المدخل-والدرس-الأول.md	65	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف07-أ-النقد-والنصيحة-المدخل-والدرس-الأول.md	71	تحليل حديث	تحليل حديث
المجلد-السابع/الباب-السابع/ف07-أ-النقد-والنصيحة-المدخل-والدرس-الأول.md	71	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف07-ب-النقد-والنصيحة-الدرس-الثاني.md	83	استنباط تربوي	استنباط تربوي
المجلد-السابع/الباب-السابع/ف07-ب-النقد-والنصيحة-الدرس-الثاني.md	87	استنباط تربوي	استنباط تربوي
