البوابة	الفحص	الحكم	التفصيل
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	232	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	244	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	299	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	318	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	320	تحليل حديث	تحليل حديث
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	321	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	396	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	422	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف07-مخاطبة-الجمهور-العام.md	53	استنباط تربوي	استنباط تربوي: هذا في المعنى العام لمراعاة مستوى المخاطَب، لا في مسألة كتمان العلم الواجب بيانه.
المجلد-الخامس/الباب-الخامس/ف07-مخاطبة-الجمهور-العام.md	176	أخرى	تنبيه: لا يذكر المتكلم رقمًا ولا نسبة ما لم يكن من جهة رسمية مختصة وموثوقة
المجلد-الخامس/الباب-الخامس/ف08-أ-التهدئة-وحفظ-الكرامة.md	49	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف08-أ-التهدئة-وحفظ-الكرامة.md	155	تحليل حديث	تحليل حديث
المجلد-الخامس/الباب-الخامس/ف09-أ-مختبر-المقام.md	40	استنباط تربوي	استنباط تربوي: الجمع بين الآيات تربوي لتوضيح مبدأ الباب، لا نقل عن مفسر بعينه في تخصيص كل آية بمقامها.
