البوابة	الفحص	الحكم	التفصيل
الإخراج الفني	الصفحات الكاملة (العتبات، والملصقات، وصفحات التراث، والمقدّمات الثابتة)	للعلم	٩ صفحة من ٣٢٧
التقنية	الرأس الجاري على كل صفحة جارية	يجتاز	
التقنية	أرقام الصفحات متصلة: المقدّمات بالأبجدية، والمتن من ١	يجتاز	المقدّمات ١٦ صفحة (أ–ع)، والمتن ٣١١ صفحة
التقنية	المحتويات: كل مدخلٍ على الصفحة التي تفتتحه، وعليها رتبة الفصل	يجتاز	٧ مدخلًا
التقنية	الإشارات المرجعية (Bookmarks)	يجتاز	١٠ إشارة؛ في المستوى الأول: المقدّمات، الباب العاشر: المؤسسة
التقنية	بيانات الملف: العنوان والمؤلف، بلا وسم المراجعة	يجتاز	صناعة المتكلّم العربي — المجلد التاسع: المؤسسة؛ أحمد بن إبراهيم السليمي؛ المجلد التاسع: المؤسسة
التقنية	الحواشي كلها في الصفحات (حواشي صفحة بـPaged.js)	يجتاز	٠ حاشية
التقنية	إحالات الباب العاشر إلى فصوله (١–٥)	يجتاز	
العلمية	الثبت (الدليل ٣٤ §٤)	للعلم	لا حواشي في هذا المجلد، فلا ثبت له؛ ولا يدخل ثبتًا كتابٌ لم يُحَل إليه
الحرفية	لا نصّ أصغر من ٧.٨ نقطة (الرموز، وسلّم الرسمية، والجهاز العلمي، والحواشي، وأرقام الصفحات)	يجتاز	أصغر المقاسات المستعملة: SourceSerif4 ٦.٤ (×٩)، IBMPlexSansArabic ٧.٨ (×٤٩٣)، SourceSerif4 ٧.٨ (×٣)، Changa ٧.٨ (×٩١٢)، IBMPlexSansArabic ٨.٠ (×٣٦)، SourceSerif4 ٨.١ (×١)، IBMPlexSansArabic ٨.٢ (×١٣)، Amiri ٨.٢ (×٧٦)، SourceSerif4 ٨.٢ (×١)، Changa ٨.٣ (×٧٥٥)، IBMPlexSansArabic ٨.٤ (×١٣)
النشر	لا «نسخة المراجعة» ولا «ليست للنشر» في النسخة النهائية (المتن، والرأس، والخاتمة، وبيانات الملف)	يجتاز	لا شيء
النشر	بيانات النشر مطابقةٌ للدليل (الناشر وتواصله، والسنتان، والطبعة، والمؤلف، والمجلد)	يجتاز	كلها مطابقة، وصفحة بيانات النشر و
النشر	ردمك المجلد والمجموعة ورقم الإيداع ومكان النشر (يصدرها الناشر؛ لا يُطبع بدلها نصٌّ مؤقت)	ينتظر الناشر	لم يصدر بعد: ردمك المجلد، ردمك المجموعة، رقم الإيداع، مكان النشر؛ وسطورها غير مطبوعة
التقنية	فهرس المحتويات بأرقام صفحاته	يجتاز	لا مدخل بلا رقم
التقنية	فهارس المجلد (الآيات، والأحاديث والآثار، والأشعار، والأعلام، والمصطلحات، والمصادر بالصفحة) — الدليل ١١١ §٤	لم يُبنَ	لم تُبنَ بعدُ أداة الفهارس؛ والثبت حاضر
التربوية	مسرد مصطلحات المجلد (الدليل ٣٩)	لم يُبنَ	المسرد العام في المجلد الحادي عشر؛ ولا مسرد للمجلد بعد

الصفحة	ما يُراجَع
٥٢	صفحةٌ قصيرة (٢٩٪) في وسط فصل
١٦٤	صفحةٌ قصيرة (٤٤٪) في وسط فصل
٣٠٥	صفحةٌ قصيرة (٤٣٪) في وسط فصل

الملف	السطر	نوع الوسم	نصّه
المجلد-التاسع/الباب-العاشر/ف01-أ-بناء-الجواب.md	114	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف01-أ-بناء-الجواب.md	120	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-التاسع/الباب-العاشر/ف01-أ-بناء-الجواب.md	132	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-التاسع/الباب-العاشر/ف01-أ-بناء-الجواب.md	213	تحليل حديث	تحليل حديث
المجلد-التاسع/الباب-العاشر/ف01-أ-بناء-الجواب.md	215	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف01-ب-الأسئلة-والمحاكاة.md	121	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف02-أ-الدرس-التجريبي.md	70	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف02-ب-المقابلة-الأكاديمية.md	22	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف03-أ-إدارة-الاجتماع.md	63	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف03-أ-إدارة-الاجتماع.md	65	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف03-أ-إدارة-الاجتماع.md	67	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف03-ب-إدارة-الاجتماع.md	178	تحليل حديث	تحليل حديث
المجلد-التاسع/الباب-العاشر/ف03-ب-إدارة-الاجتماع.md	180	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف03-ب-إدارة-الاجتماع.md	212	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف03-ب-إدارة-الاجتماع.md	319	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-التاسع/الباب-العاشر/ف04-أ-المدير-وموظفوه.md	62	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف04-أ-المدير-وموظفوه.md	64	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف04-أ-المدير-وموظفوه.md	201	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-التاسع/الباب-العاشر/ف04-ب-الموظف-المخطئ.md	26	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف05-أ-الاعتذار-والاعتراض.md	74	استنباط تربوي	استنباط تربوي
المجلد-التاسع/الباب-العاشر/ف05-أ-الاعتذار-والاعتراض.md	148	استنباط تربوي	استنباط تربوي
