البوابة	الفحص	الحكم	التفصيل
الحرفية	لا نصّ أصغر من ٧.٨ نقطة (الرموز، وسلّم الرسمية، والجهاز العلمي، والحواشي، وأرقام الصفحات)	يجتاز	أصغر المقاسات المستعملة: SourceSerif4 ٦.٤ (×٩)، Changa ٧.٨ (×١٥٩٣)، IBMPlexSansArabic ٧.٨ (×٧٥٧)، IBMPlexSansArabic ٨.٠ (×٢٠)، SourceSerif4 ٨.١ (×١)، Amiri ٨.٢ (×١٠٣)، Changa ٨.٢ (×٢٦)، IBMPlexSansArabic ٨.٢ (×١٥)، SourceSerif4 ٨.٢ (×١)، Changa ٨.٣ (×١٣١٤)، IBMPlexSansArabic ٨.٤ (×١٥)
النشر	لا «نسخة المراجعة» ولا «ليست للنشر» في النسخة النهائية (المتن، والرأس، والخاتمة، وبيانات الملف)	يجتاز	لا شيء
النشر	بيانات النشر مطابقةٌ للدليل (الناشر وتواصله، والسنتان، والطبعة، والمؤلف، والمجلد)	يجتاز	كلها مطابقة، وصفحة بيانات النشر و
النشر	ردمك المجلد والمجموعة ورقم الإيداع ومكان النشر (يصدرها الناشر؛ لا يُطبع بدلها نصٌّ مؤقت)	ينتظر الناشر	لم يصدر بعد: ردمك المجلد، ردمك المجموعة، رقم الإيداع، مكان النشر؛ وسطورها غير مطبوعة
التقنية	فهرس المحتويات بأرقام صفحاته	يجتاز	لا مدخل بلا رقم
التقنية	فهارس المجلد (الآيات، والأحاديث والآثار، والأشعار، والأعلام، والمصطلحات، والمصادر بالصفحة) — الدليل ١١١ §٤	لم يُبنَ	لم تُبنَ بعدُ أداة الفهارس؛ والثبت حاضر
التربوية	مسرد مصطلحات المجلد (الدليل ٣٩)	لم يُبنَ	المسرد العام في المجلد الحادي عشر؛ ولا مسرد للمجلد بعد

الصفحة	ما يُراجَع
١١٥	صفحةٌ قصيرة (٣٧٪) في وسط فصل
١٩٩	عنوانٌ في أسفل الصفحة لا يتبعه نصّ: «الرسالة مناقشة في ثم ،الندوة»
٥٣٦	صفحةٌ قصيرة (٤٣٪) في وسط فصل

الملف	السطر	نوع الوسم	نصّه
المجلد-الثامن/الباب-الثامن/ف01-ب-الكلام-في-المجلس.md	381	تحليل حديث	تحليل حديث
المجلد-الثامن/الباب-التاسع/ف01-أ-المدخل-وبناء-الخطبة.md	368	تحليل حديث	تحليل حديث
المجلد-الثامن/الباب-التاسع/ف02-أ-المدخل-وبناء-المحاضرة.md	252	تحليل حديث	تحليل حديث
المجلد-الثامن/الباب-التاسع/ف04-أ-المدخل-والدرس-الأول.md	250	تحليل حديث	تحليل حديث
المجلد-الثامن/الباب-التاسع/ف04-ب-الدرس-الثاني.md	146	تحليل حديث	تحليل حديث
