البوابة	الفحص	الحكم	التفصيل
التقنية	الإشارات المرجعية (Bookmarks)	يجتاز	٢٧ إشارة؛ في المستوى الأول: المقدّمات، المرجع الأول: بنك الأخطاء، الملاحق، الخواتيم، الفهارس
التقنية	بيانات الملف: العنوان والمؤلف، بلا وسم المراجعة	يجتاز	صناعة المتكلّم العربي — المجلد الحادي عشر: مرجع المتكلّم العربي؛ أحمد بن إبراهيم السليمي؛ المجلد الحادي عشر: مرجع المتكلّم العربي
التقنية	الحواشي كلها في الصفحات (حواشي صفحة بـPaged.js)	يجتاز	١٤ حاشية
العلمية	الثبت: فيه كل ما أُحيل إليه في حواشي المجلد (قاعدة المصادر)	يجتاز	٨٣ عنوانًا
العلمية	الثبت (الدليل ٣٤ §٤)	يجتاز	يُختم المجلد بثبته (المصادر-والمراجع.md)، مولَّدًا من قاعدة المصادر
الحرفية	لا نصّ أصغر من ٧.٨ نقطة (الرموز، وسلّم الرسمية، والجهاز العلمي، والحواشي، وأرقام الصفحات)	يجتاز	أصغر المقاسات المستعملة: SourceSerif4 ٦.٤ (×٦)، SourceSerif4 ٧.٦ (×١٣)، Changa ٧.٨ (×١١٠٤)، SourceSerif4 ٧.٨ (×٣٧٠)، IBMPlexSansArabic ٧.٨ (×٣٤)، IBMPlexSansArabic ٨.٠ (×١٥)، SourceSerif4 ٨.٢ (×٤)، IBMPlexSansArabic ٨.٢ (×١١)، Changa ٨.٢ (×٢)، Changa ٨.٣ (×٧٠٣)، IBMPlexSansArabic ٨.٤ (×٥)
النشر	لا «نسخة المراجعة» ولا «ليست للنشر» في النسخة النهائية (المتن، والرأس، والخاتمة، وبيانات الملف)	يجتاز	لا شيء
النشر	بيانات النشر مطابقةٌ للدليل (الناشر وتواصله، والسنتان، والطبعة، والمؤلف، والمجلد)	يجتاز	كلها مطابقة، وصفحة بيانات النشر و
النشر	ردمك المجلد والمجموعة ورقم الإيداع ومكان النشر (يصدرها الناشر؛ لا يُطبع بدلها نصٌّ مؤقت)	ينتظر الناشر	لم يصدر بعد: ردمك المجلد، ردمك المجموعة، رقم الإيداع، مكان النشر؛ وسطورها غير مطبوعة
التقنية	فهرس المحتويات بأرقام صفحاته	يجتاز	لا مدخل بلا رقم
التقنية	فهارس المجلد (الآيات، والأحاديث والآثار، والأشعار، والأعلام، والمصطلحات، والمصادر بالصفحة) — الدليل ١١١ §٤	لم يُبنَ	لم تُبنَ بعدُ أداة الفهارس؛ والثبت حاضر
التربوية	مسرد مصطلحات المجلد (الدليل ٣٩)	لم يُبنَ	المسرد العام في المجلد الحادي عشر؛ ولا مسرد للمجلد بعد

الصفحة	ما يُراجَع
٥	صفحةٌ قصيرة (٣٤٪) في وسط فصل
٣٣	صفحةٌ قصيرة (٤٢٪) في وسط فصل
٣١٠	صفحةٌ قصيرة (٤٢٪) في وسط فصل
٣٨٢	آخر صفحةٍ في قسمها شبه فارغة (١٤٪)

الملف	السطر	نوع الوسم	نصّه
