البوابة	الفحص	الحكم	التفصيل
الإخراج الفني	لا عمود انهار إلى كلمةٍ في السطر	يجتاز	
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	للمراجعة	٥٨، ٦٣، ٦٨، ٢٨٨، ٣١٢
الإخراج الفني	الرسوم المقرّرة	للعلم	لا رسوم مقرّرة لهذا المجلد؛ مواصفة الرسوم (الدليل ٠٨ §٤) للمجلد الأول
الإخراج الفني	الصفحات الكاملة (العتبات، والملصقات، وصفحات التراث، والمقدّمات الثابتة)	للعلم	١١ صفحة من ٦٠٣
التقنية	الرأس الجاري على كل صفحة جارية	يجتاز	
التقنية	أرقام الصفحات متصلة: المقدّمات بالأبجدية، والمتن من ١	يجتاز	المقدّمات ١٨ صفحة (أ–ص)، والمتن ٥٨٥ صفحة
التقنية	المحتويات: كل مدخلٍ على الصفحة التي تفتتحه، وعليها رتبة الفصل	يجتاز	١٦ مدخلًا
التقنية	الإشارات المرجعية (Bookmarks)	يجتاز	٢٨ إشارة؛ في المستوى الأول: المقدّمات، الباب الحادي عشر: الإعلام والتقديم، الباب الثاني عشر: الدبلوماسية والتواصل الرسمي، الباب الثالث عشر: الملكة، خاتمة الكتاب، الخواتيم، الفهارس
التقنية	بيانات الملف: العنوان والمؤلف، بلا وسم المراجعة	يجتاز	صناعة المتكلّم العربي — المجلد العاشر: التمكين؛ أحمد بن إبراهيم السليمي؛ المجلد العاشر: التمكين
التقنية	الحواشي كلها في الصفحات (حواشي صفحة بـPaged.js)	يجتاز	١٧ حاشية
التقنية	إحالات الباب الحادي عشر إلى فصوله (١–٤)	يجتاز	
التقنية	إحالات الباب الثاني عشر إلى فصوله (١–٣)	يجتاز	
التقنية	إحالات الباب الثالث عشر إلى فصوله (١–٣)	يجتاز	
العلمية	الثبت: فيه كل ما أُحيل إليه في حواشي المجلد (قاعدة المصادر)	يجتاز	٧ عنوانًا
العلمية	الثبت (الدليل ٣٤ §٤)	يجتاز	يُختم المجلد بثبته (ثبت-المصادر.md)، مولَّدًا من قاعدة المصادر
الحرفية	لا نصّ أصغر من ٧.٨ نقطة (الرموز، وسلّم الرسمية، والجهاز العلمي، والحواشي، وأرقام الصفحات)	يجتاز	أصغر المقاسات المستعملة: SourceSerif4 ٦.٤ (×٦)، SourceSerif4 ٧.٦ (×١٣)، IBMPlexSansArabic ٧.٨ (×٦٨٠)، SourceSerif4 ٧.٨ (×١)، Changa ٧.٨ (×١٦٧٧)، IBMPlexSansArabic ٨.٠ (×١٥)، SourceSerif4 ٨.٢ (×٤)، Changa ٨.٢ (×١٤)، Amiri ٨.٢ (×١٠٣)، IBMPlexSansArabic ٨.٢ (×١١)، Changa ٨.٣ (×١٣٧٢)، IBMPlexSansArabic ٨.٤ (×٣٨)
النشر	لا «نسخة المراجعة» ولا «ليست للنشر» في النسخة النهائية (المتن، والرأس، والخاتمة، وبيانات الملف)	يجتاز	لا شيء
النشر	بيانات النشر مطابقةٌ للدليل (الناشر وتواصله، والسنتان، والطبعة، والمؤلف، والمجلد)	يجتاز	كلها مطابقة، وصفحة بيانات النشر و
النشر	ردمك المجلد والمجموعة ورقم الإيداع ومكان النشر (يصدرها الناشر؛ لا يُطبع بدلها نصٌّ مؤقت)	ينتظر الناشر	لم يصدر بعد: ردمك المجلد، ردمك المجموعة، رقم الإيداع، مكان النشر؛ وسطورها غير مطبوعة
التقنية	فهرس المحتويات بأرقام صفحاته	يجتاز	لا مدخل بلا رقم
التقنية	فهارس المجلد (الآيات، والأحاديث والآثار، والأشعار، والأعلام، والمصطلحات، والمصادر بالصفحة) — الدليل ١١١ §٤	لم يُبنَ	لم تُبنَ بعدُ أداة الفهارس؛ والثبت حاضر
التربوية	مسرد مصطلحات المجلد (الدليل ٣٩)	لم يُبنَ	المسرد العام في المجلد الحادي عشر؛ ولا مسرد للمجلد بعد

الصفحة	ما يُراجَع
٥٨	صفحةٌ قصيرة (٣٢٪) في وسط فصل
٦٣	صفحةٌ قصيرة (٣٨٪) في وسط فصل
٦٨	صفحةٌ قصيرة (٣٠٪) في وسط فصل
١٨٣	آخر صفحةٍ في قسمها شبه فارغة (١٢٪)
٢٨٨	صفحةٌ قصيرة (٢٥٪) في وسط فصل
٣١٢	صفحةٌ قصيرة (٩٪) في وسط فصل

الملف	السطر	نوع الوسم	نصّه
