البوابة	الفحص	الحكم	التفصيل
الإخراج الفني	الرسوم المقرّرة	للعلم	لا رسوم مقرّرة لهذا المجلد؛ مواصفة الرسوم (الدليل ٠٨ §٤) للمجلد الأول
الإخراج الفني	الصفحات الكاملة (العتبات، والملصقات، وصفحات التراث، والمقدّمات الثابتة)	للعلم	٩ صفحة من ٤٧١
التقنية	الرأس الجاري على كل صفحة جارية	يجتاز	
التقنية	أرقام الصفحات متصلة: المقدّمات بالأبجدية، والمتن من ١	يجتاز	المقدّمات ١٦ صفحة (أ–ع)، والمتن ٤٥٥ صفحة
التقنية	المحتويات: كل مدخلٍ على الصفحة التي تفتتحه، وعليها رتبة الفصل	يجتاز	١١ مدخلًا
التقنية	الإشارات المرجعية (Bookmarks)	يجتاز	١٤ إشارة؛ في المستوى الأول: المقدّمات، الباب الثالث: العبارة
التقنية	بيانات الملف: العنوان والمؤلف، بلا وسم المراجعة	يجتاز	صناعة المتكلّم العربي — المجلد الثالث: العبارة؛ أحمد بن إبراهيم السليمي؛ المجلد الثالث: العبارة
التقنية	الحواشي كلها في الصفحات (حواشي صفحة بـPaged.js)	يجتاز	٠ حاشية
التقنية	إحالات الباب الثالث إلى فصوله (١–٩)	يجتاز	
العلمية	الثبت (الدليل ٣٤ §٤)	للعلم	لا حواشي في هذا المجلد، فلا ثبت له؛ ولا يدخل ثبتًا كتابٌ لم يُحَل إليه
الحرفية	لا نصّ أصغر من ٧.٨ نقطة (الرموز، وسلّم الرسمية، والجهاز العلمي، والحواشي، وأرقام الصفحات)	يجتاز	أصغر المقاسات المستعملة: SourceSerif4 ٦.٤ (×٩)، IBMPlexSansArabic ٧.٨ (×٧٤٣)، Changa ٧.٨ (×١٣٣٥)، SourceSerif4 ٧.٨ (×٢٦)، IBMPlexSansArabic ٨.٠ (×٨٢)، SourceSerif4 ٨.١ (×٣٩)، IBMPlexSansArabic ٨.٢ (×١١)، SourceSerif4 ٨.٢ (×١)، Amiri ٨.٢ (×٦٩)، Changa ٨.٣ (×١١٠٣)، IBMPlexSansArabic ٨.٤ (×١٥)
النشر	لا «نسخة المراجعة» ولا «ليست للنشر» في النسخة النهائية (المتن، والرأس، والخاتمة، وبيانات الملف)	يجتاز	لا شيء
النشر	بيانات النشر مطابقةٌ للدليل (الناشر وتواصله، والسنتان، والطبعة، والمؤلف، والمجلد)	يجتاز	كلها مطابقة، وصفحة بيانات النشر و
النشر	ردمك المجلد والمجموعة ورقم الإيداع ومكان النشر (يصدرها الناشر؛ لا يُطبع بدلها نصٌّ مؤقت)	ينتظر الناشر	لم يصدر بعد: ردمك المجلد، ردمك المجموعة، رقم الإيداع، مكان النشر؛ وسطورها غير مطبوعة
التقنية	فهرس المحتويات بأرقام صفحاته	يجتاز	لا مدخل بلا رقم
التقنية	فهارس المجلد (الآيات، والأحاديث والآثار، والأشعار، والأعلام، والمصطلحات، والمصادر بالصفحة) — الدليل ١١١ §٤	لم يُبنَ	لم تُبنَ بعدُ أداة الفهارس؛ والثبت حاضر
التربوية	مسرد مصطلحات المجلد (الدليل ٣٩)	لم يُبنَ	المسرد العام في المجلد الحادي عشر؛ ولا مسرد للمجلد بعد

الصفحة	ما يُراجَع
٦	آخر صفحةٍ في قسمها شبه فارغة (١٤٪)
٦٦	صفحةٌ قصيرة (٣٧٪) في وسط فصل
١٦٩	صفحةٌ قصيرة (٤٣٪) في وسط فصل
٢٠٥	صفحةٌ قصيرة (٤٣٪) في وسط فصل
٣١٤	صفحةٌ قصيرة (٢٨٪) في وسط فصل
٣٢٩	صفحةٌ قصيرة (٢٨٪) في وسط فصل

الملف	السطر	نوع الوسم	نصّه
المجلد-الثالث/الباب-الثالث/ف01-أ-الاسمية-والفعلية.md	23	أخرى	يُعرض على المراجع المختص
المجلد-الثالث/الباب-الثالث/ف01-أ-الاسمية-والفعلية.md	62	يحتاج إلى تحقق	سيبويه، الكتاب، تحقيق عبد السلام هارون، ج١؛ يحتاج إلى تحقق من الصفحة
المجلد-الثالث/الباب-الثالث/ف01-أ-الاسمية-والفعلية.md	64	يحتاج إلى تحقق	عبد القاهر الجرجاني، دلائل الإعجاز، قراءة محمود محمد شاكر، باب التقديم والتأخير؛ يحتاج إلى تحقق من المصدر
المجلد-الثالث/الباب-الثالث/ف01-أ-الاسمية-والفعلية.md	66	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف01-أ-الاسمية-والفعلية.md	249	أخرى	يُعرض على المراجع المختص
المجلد-الثالث/الباب-الثالث/ف01-أ-الاسمية-والفعلية.md	286	تحليل حديث	تحليل حديث
المجلد-الثالث/الباب-الثالث/ف01-أ-الاسمية-والفعلية.md	286	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف02-أ-المطابقة.md	60	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف02-أ-المطابقة.md	62	يحتاج إلى تحقق	ابن خلدون، المقدمة، الفصل المعقود في أن ملكة هذا اللسان غير صناعة العربية؛ يحتاج إلى تحقق من المصدر والصفحة بحسب الطبعة المعتمدة
المجلد-الثالث/الباب-الثالث/ف02-أ-المطابقة.md	64	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف02-أ-المطابقة.md	258	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف02-أ-المطابقة.md	265	تحليل حديث	تحليل حديث
المجلد-الثالث/الباب-الثالث/ف02-أ-المطابقة.md	267	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف02-ب-الإعراب-والنواسخ.md	25	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الثالث/الباب-الثالث/ف02-ب-الإعراب-والنواسخ.md	446	أخرى	يُعرض على المراجع المختص
المجلد-الثالث/الباب-الثالث/ف03-أ-الأوزان-والمصادر.md	63	تحليل حديث	تحليل حديث
المجلد-الثالث/الباب-الثالث/ف03-أ-الأوزان-والمصادر.md	63	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف03-ب-النسبة-والجموع-والمعتل.md	16	تحليل حديث	تحليل حديث
المجلد-الثالث/الباب-الثالث/ف03-ب-النسبة-والجموع-والمعتل.md	16	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف05-أ-الأفعال-وحروف-الجر.md	61	تحليل حديث	تحليل حديث
المجلد-الثالث/الباب-الثالث/ف05-أ-الأفعال-وحروف-الجر.md	61	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف06-أ-أثر-اللغات-المحلية.md	80	يحتاج إلى تحقق	ابن خلدون، المقدمة؛ يحتاج إلى تحقق من المصدر وعنوان الفصل بحسب الطبعة المعتمدة
المجلد-الثالث/الباب-الثالث/ف06-أ-أثر-اللغات-المحلية.md	84	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف06-أ-أثر-اللغات-المحلية.md	147	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الثالث/الباب-الثالث/ف06-أ-أثر-اللغات-المحلية.md	159	تحليل حديث	تحليل حديث
المجلد-الثالث/الباب-الثالث/ف06-أ-أثر-اللغات-المحلية.md	161	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف06-أ-أثر-اللغات-المحلية.md	177	أخرى	يُعرض على المراجع المختص
المجلد-الثالث/الباب-الثالث/ف06-أ-أثر-اللغات-المحلية.md	209	أخرى	يُعرض على المراجع المختص
المجلد-الثالث/الباب-الثالث/ف06-أ-أثر-اللغات-المحلية.md	231	أخرى	يُعرض على المراجع المختص
المجلد-الثالث/الباب-الثالث/ف06-أ-أثر-اللغات-المحلية.md	297	أخرى	يُعرض على المراجع المختص
المجلد-الثالث/الباب-الثالث/ف06-أ-أثر-اللغات-المحلية.md	337	أخرى	يُعرض على المراجع المختص
المجلد-الثالث/الباب-الثالث/ف06-ب-المخاطبة-والتحية-والتطبيق.md	23	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف06-ب-المخاطبة-والتحية-والتطبيق.md	90	أخرى	يُعرض على المراجع المختص
المجلد-الثالث/الباب-الثالث/ف06-ب-المخاطبة-والتحية-والتطبيق.md	145	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-الثالث/الباب-الثالث/ف07-أ-الحشو-الصوتي.md	99	تحليل حديث	تحليل حديث
المجلد-الثالث/الباب-الثالث/ف07-أ-الحشو-الصوتي.md	101	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف07-أ-الحشو-الصوتي.md	109	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف07-أ-الحشو-الصوتي.md	259	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف07-أ-الحشو-الصوتي.md	289	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الثالث/الباب-الثالث/ف07-أ-الحشو-الصوتي.md	309	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الثالث/الباب-الثالث/ف07-ب-التكرار-والغموض.md	16	يحتاج إلى تحقق	الخطيب القزويني، الإيضاح في علوم البلاغة، باب الإيجاز والإطناب والمساواة؛ يحتاج إلى تحقق من الصفحة
المجلد-الثالث/الباب-الثالث/ف07-ب-التكرار-والغموض.md	24	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف07-ب-التكرار-والغموض.md	124	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-الثالث/الباب-الثالث/ف07-ب-التكرار-والغموض.md	155	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف07-ب-التكرار-والغموض.md	224	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف07-ب-التكرار-والغموض.md	243	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الثالث/الباب-الثالث/ف07-ب-التكرار-والغموض.md	297	تحليل حديث	تحليل حديث
المجلد-الثالث/الباب-الثالث/ف07-ب-التكرار-والغموض.md	299	استنباط تربوي	استنباط تربوي
المجلد-الثالث/الباب-الثالث/ف08-أ-الفصيح-المأنوس.md	75	يحتاج إلى تحقق	الخطيب القزويني، الإيضاح في علوم البلاغة، أول الكتاب في الفصاحة؛ يحتاج إلى تحقق من الصفحة
المجلد-الثالث/الباب-الثالث/ف08-أ-الفصيح-المأنوس.md	77	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر ونسبة القصة
المجلد-الثالث/الباب-الثالث/ف08-أ-الفصيح-المأنوس.md	79	يحتاج إلى تحقق	الجاحظ، البيان والتبيين، ج١؛ يحتاج إلى تحقق من المصدر
المجلد-الثالث/الباب-الثالث/ف08-أ-الفصيح-المأنوس.md	81	استنباط تربوي	استنباط تربوي
