البوابة	الفحص	الحكم	التفصيل
المجلد-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	312	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الأول/الباب-الأول/ف01-ب-الدرس-الثاني.md	328	تحليل حديث	تحليل حديث
المجلد-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	202	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الأول/الباب-الأول/ف02-أ-المدخل-والدرس-الأول.md	417	تحليل حديث	تحليل حديث
المجلد-الأول/الباب-الأول/ف02-ب-الدرس-الثاني.md	230	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الأول/الباب-الأول/ف03-أ-المفاهيم-والدرس.md	115	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-الأول/الباب-الأول/ف03-أ-المفاهيم-والدرس.md	410	تحليل حديث	تحليل حديث
المجلد-الأول/الباب-الأول/ف03-أ-المفاهيم-والدرس.md	435	يحتاج إلى تحقق	يحتاج إلى تحقق من رقم الحديث
المجلد-الأول/الباب-الأول/ف03-أ-المفاهيم-والدرس.md	437	يحتاج إلى تحقق	من كتب غريب الحديث؛ يحتاج إلى تحقق من المصدر
المجلد-الأول/الباب-الأول/ف03-أ-المفاهيم-والدرس.md	443	يحتاج إلى تحقق	من كتب الأدب؛ يحتاج إلى تحقق من المصدر
المجلد-الأول/الباب-الأول/ف04-أ-المدخل-ومقتضى-الحال.md	72	يحتاج إلى تحقق	يحتاج إلى تحقق من الديوان والمصدر قبل الإثبات
المجلد-الأول/الباب-الأول/ف05-ب-التطبيق-والتقويم.md	7	تحليل حديث	تحليل حديث
المجلد-الأول/الباب-الأول/ف06-أ-المدخل-والدرس.md	96	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الأول/الباب-الأول/ف06-ب-البرنامج-والتطبيق.md	22	تحليل حديث	تحليل حديث
المجلد-الأول/الباب-الأول/ف06-ب-البرنامج-والتطبيق.md	50	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
