البوابة	الفحص	الحكم	التفصيل
التربوية	الباب الرابع، الفصل السادس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الرابع، الفصل السابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الرابع، الفصل الثامن: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الرابع، الفصل التاسع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الرابع، الفصل العاشر: أركان الفصل	يجتاز	كلها حاضرة
الحرفية	العائلات المعتمدة وحدها	يجتاز	Amiri؛ AmiriQuran؛ Changa؛ IBMPlexSansArabic؛ Kufam؛ Kufamå¼ SMA؛ ScheherazadeNew؛ SourceSerif4
الحرفية	لا خطّ من صنف Type 3	يجتاز	
الحرفية	الخطوط كلها مضمّنة	يجتاز	
التقنية	مقاس الصفحات واحد ١٧×٢٤ سم للمجلدات الأحد عشر، والمرجع منها (الباب ١١٢ك)	يجتاز	{(170, 240)}
الإخراج الفني	الصفحات البيضاء المقصودة (قبل ما يُفتتح على صفحةٍ فردية)	للعلم	٦ صفحة: د، ح، ي، ع، ٥٢٦، ٥٣٢
الإخراج الفني	لا عنوان في أسفل صفحةٍ بلا نصّ بعده	يجتاز	
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	للمراجعة	١٧٣، ٥١٧
الإخراج الفني	الرسوم المقرّرة	للعلم	لا رسوم مقرّرة لهذا المجلد؛ مواصفة الرسوم (الدليل ٠٨ §٤) للمجلد الأول
الإخراج الفني	الصفحات الكاملة (العتبات، والملصقات، وصفحات التراث، والمقدّمات الثابتة)	للعلم	٩ صفحة من ٥٤٩
التقنية	الرأس الجاري على كل صفحة جارية	يجتاز	
التقنية	أرقام الصفحات متصلة: المقدّمات بالأبجدية، والمتن من ١	يجتاز	المقدّمات ١٦ صفحة (أ–ع)، والمتن ٥٣٣ صفحة
التقنية	المحتويات: كل مدخلٍ على الصفحة التي تفتتحه، وعليها رتبة الفصل	يجتاز	١٣ مدخلًا
التقنية	الإشارات المرجعية (Bookmarks)	يجتاز	٢٣ إشارة؛ في المستوى الأول: المقدّمات، الباب الرابع: البيان، الخواتيم، الفهارس
التقنية	بيانات الملف: العنوان والمؤلف، بلا وسم المراجعة	يجتاز	صناعة المتكلّم العربي — المجلد الرابع: البيان؛ أحمد بن إبراهيم السليمي؛ المجلد الرابع: البيان
التقنية	الحواشي كلها في الصفحات (حواشي صفحة بـPaged.js)	يجتاز	٣٨ حاشية
التقنية	إحالات الباب الرابع إلى فصوله (١–١٠)	يجتاز	
العلمية	الثبت: فيه كل ما أُحيل إليه في حواشي المجلد (قاعدة المصادر)	يجتاز	١٤ عنوانًا
العلمية	الثبت (الدليل ٣٤ §٤)	يجتاز	يُختم المجلد بثبته (ثبت-المصادر.md)، مولَّدًا من قاعدة المصادر
الحرفية	لا نصّ أصغر من ٧.٨ نقطة (الرموز، وسلّم الرسمية، والجهاز العلمي، والحواشي، وأرقام الصفحات)	يجتاز	أصغر المقاسات المستعملة: SourceSerif4 ٦.٤ (×٩)، SourceSerif4 ٧.٨ (×٧)، IBMPlexSansArabic ٧.٨ (×٦٠٩)، Changa ٧.٨ (×١٥٤٥)، IBMPlexSansArabic ٨.٠ (×١٥)، IBMPlexSansArabic ٨.٢ (×٣٦)، Amiri ٨.٢ (×٧٦)، Changa ٨.٢ (×٣٠)، SourceSerif4 ٨.٢ (×١)، Changa ٨.٣ (×١٢٧٢)، Amiri ٨.٣ (×١٤)، IBMPlexSansArabic ٨.٤ (×١٨)
النشر	لا «نسخة المراجعة» ولا «ليست للنشر» في النسخة النهائية (المتن، والرأس، والخاتمة، وبيانات الملف)	يجتاز	لا شيء
النشر	بيانات النشر مطابقةٌ للدليل (الناشر وتواصله، والسنتان، والطبعة، والمؤلف، والمجلد)	يجتاز	كلها مطابقة، وصفحة بيانات النشر و
النشر	ردمك المجلد والمجموعة ورقم الإيداع ومكان النشر (يصدرها الناشر؛ لا يُطبع بدلها نصٌّ مؤقت)	ينتظر الناشر	لم يصدر بعد: ردمك المجلد، ردمك المجموعة، رقم الإيداع، مكان النشر؛ وسطورها غير مطبوعة
التقنية	فهرس المحتويات بأرقام صفحاته	يجتاز	لا مدخل بلا رقم
التقنية	فهارس المجلد (الآيات، والأحاديث والآثار، والأشعار، والأعلام، والمصطلحات، والمصادر بالصفحة) — الدليل ١١١ §٤	لم يُبنَ	لم تُبنَ بعدُ أداة الفهارس؛ والثبت حاضر
التربوية	مسرد مصطلحات المجلد (الدليل ٣٩)	لم يُبنَ	المسرد العام في المجلد الحادي عشر؛ ولا مسرد للمجلد بعد

الصفحة	ما يُراجَع
١٧٣	صفحةٌ قصيرة (٣٦٪) في وسط فصل
٤٧١	آخر صفحةٍ في قسمها شبه فارغة (١٢٪)
٥١٧	صفحةٌ قصيرة (١٣٪) في وسط فصل

الملف	السطر	نوع الوسم	نصّه
