الرقم	المجموعة	الطبقة	المؤلف	الوفاة أو السنة	العنوان	الطبعة (من سجلّ فهرسة)	مصدر بيانات الطبعة	الوظيفة في المشروع	المجلدات	حالة الاستعمال	حالة بيانات الطبعة	الأجزاء في الطبعة السابقة
مص-٠١١	علوم القرآن والقراءات والتجويد	أ	ابن جني	٣٩٢	المحتسب في تبيين وجوه شواذ القراءات	تحقيق محمد عبد القادر عطا، دار الکتب العلمية - بيروت، الأولى، ١٤١٩ هـ - ١٩٩٨ م، ٢ أجزاء	بطاقة المكتبة الشاملة 704	توجيه الشواذ، ومرونة العربية	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠١٢	علوم القرآن والقراءات والتجويد	أ	الفراء	٢٠٧	معاني القرآن	تحقيق أحمد يوسف النجاتي - محمد علي النجار [ت ١٣٨٥ هـ]- عبد الفتاح إسماعيل الشلبي، دار المصرية للتأليف والترجمة - مصر، الأولى	بطاقة المكتبة الشاملة 23634	لغة القرآن ونحوه عند الكوفيين	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠١٣	علوم القرآن والقراءات والتجويد	أ	الزجاج	٣١١	معاني القرآن وإعرابه	تحقيق عبد الجليل عبده شلبي، عالم الكتب - بيروت، الأولى ١٤٠٨ هـ - ١٩٨٨ م، ٥ أجزاء	بطاقة المكتبة الشاملة 922	إعراب القرآن ومعانيه	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠١٤	علوم القرآن والقراءات والتجويد	أ	أبو عبيدة معمر بن المثنى	٢٠٩	مجاز القرآن	تحقيق محمد فواد سزگين، مكتبة الخانجى - القاهرة، ١٣٨١ هـ	بطاقة المكتبة الشاملة 23630	أساليب العرب في القرآن	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠١٥	علوم القرآن والقراءات والتجويد	أ	ابن قتيبة	٢٧٦	تأويل مشكل القرآن	تحقيق إبراهيم شمس الدين، دار الكتب العلمية، بيروت - لبنان	بطاقة المكتبة الشاملة 23596	المجاز والحذف والتكرار في لسان العرب	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠١٦	علوم القرآن والقراءات والتجويد	أ	الباقلاني	٤٠٣	إعجاز القرآن	تحقيق السيد أحمد صقر، دار المعارف - مصر، الخامسة، ١٩٩٧م	بطاقة المكتبة الشاملة 953	الإعجاز البياني ونظم الكلام	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٠١٧	علوم القرآن والقراءات والتجويد	أ	الرماني والخطابي وعبد القاهر		ثلاث رسائل في إعجاز القرآن	تُحدَّد	—	نظرية النظم والإعجاز في أطوارها	—	للبحث	تُحدَّد	الافتتاحية
مص-٠١٨	علوم القرآن والقراءات والتجويد	أ	النووي	٦٧٦	التبيان في آداب حملة القرآن	دار ابن حزم للطباعة والنشر والتوزيع - بيروت - لبنان - ص ب: ٦٣٦٦ / ١٤ - تلفون: ٨٣١٣٣١، الثالثة مزيدة ومنقحة، ١٤١٤ هـ - ١٩٩٤ م	بطاقة المكتبة الشاملة 1969	آداب القارئ والمقرئ والتلقّي	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠١٩	علوم القرآن والقراءات والتجويد	أ	علم الدين السخاوي	٦٤٣	جمال القراء وكمال الإقراء	مؤسسة الكتب الثقافية - بيروت، الأولى، ١٤١٩ هـ - ١٩٩٩ م، ٢ (متسلسلة الترقيم) أجزاء	بطاقة المكتبة الشاملة 37653	آداب الإقراء وأحكام التلاوة	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٢٠	علوم القرآن والقراءات والتجويد	أ	أبو عبيد القاسم بن سلام	٢٢٤	فضائل القرآن	دار ابن كثير (دمشق - بيروت)، الأولى، ١٤١٥ هـ -١٩٩٥ م	بطاقة المكتبة الشاملة 12524	فضل تعلّم القرآن وتعليمه	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٢١	علوم القرآن والقراءات والتجويد	ب	محمد عبد العظيم الزرقاني	١٣٦٧	مناهل العرفان في علوم القرآن	مطبعة عيسى البابي الحلبي وشركاه، الطبعة الثالثة، ٢ أجزاء	بطاقة المكتبة الشاملة 7249	مدخلٌ جامع لعلوم القرآن	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٢٢	علوم القرآن والقراءات والتجويد	أ	محمد عبد الله دراز	١٣٧٧	النبأ العظيم	عالم الآدب للترجمة والنشر - مصر، السادسة، ١٤٤٤ هـ - ٢٠٢٢ م	بطاقة المكتبة الشاملة 1470	بلاغة القرآن ووحدة بنائه	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٢٣	علوم القرآن والقراءات والتجويد	ب	عائشة عبد الرحمن (بنت الشاطئ)	١٤١٩	الإعجاز البياني للقرآن ومسائل ابن الأزرق	دار المعارف، الثالثة	بطاقة المكتبة الشاملة 12759	الدلالة البيانية للفظ القرآني	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٢٤	علوم القرآن والقراءات والتجويد	أ	محمد عبد الخالق عضيمة	١٤٠٤	دراسات لأسلوب القرآن الكريم	دار الحديث، القاهرة، بدون، ١١ أجزاء	بطاقة المكتبة الشاملة 17037	استقراء الأساليب النحوية في القرآن	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٢٥	علوم القرآن والقراءات والتجويد	أ	عبد الوهاب القرطبي	٤٦١	الموضح في التجويد	تُحدَّد	—	صفات الحروف ومخارجها	—	للبحث	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٢٦	علوم القرآن والقراءات والتجويد	ب	عبد الفتاح المرصفي	١٤٠٩	هداية القاري إلى تجويد كلام الباري	مكتبة طيبة، المدينة المنورة، الثانية، ٢ (متسلسلة الترقيم) أجزاء	بطاقة المكتبة الشاملة 22869	مرجعٌ تعليمي في التجويد	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٢٧	علوم القرآن والقراءات والتجويد	أ	الراغب الأصفهاني		المفردات في غريب القرآن	تحقيق صفوان عدنان الداودي، دار القلم، الدار الشامية - دمشق بيروت، الأولى - ١٤١٢ هـ	بطاقة المكتبة الشاملة 23636	دلالات الألفاظ القرآنية	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٢٨	علوم القرآن والقراءات والتجويد	أ	عبد اللطيف الخطيب		معجم القراءات	تُحدَّد	—	القراءات مجموعةً على الآيات	—	للبحث	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٢٩	علوم القرآن والقراءات والتجويد	أ	غانم قدوري الحمد		الدراسات الصوتية عند علماء التجويد	تُحدَّد	—	علم الأصوات في التراث التجويدي	—	مرشّح	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٣٠	علوم القرآن والقراءات والتجويد	ب	عطية قابل نصر		غاية المريد في علم التجويد	القاهرة، الطبعة السابعة مزيدة ومنقحة	بطاقة المكتبة الشاملة 7311	مرجعٌ تعليمي في التجويد	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٣١	الحديث وعلومه وشروحه	أ	البخاري	٢٥٦	صحيح البخاري (طوق النجاة، ترقيم عبد الباقي)	السلطانية، بالمطبعة الكبرى الأميرية، ببولاق مصر، ١٣١١ هـ، بأمر السلطان عبد الحميد الثاني، ٩ أجزاء	بطاقة المكتبة الشاملة 1681	الأصل في تخريج أحاديث البخاري	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٣٢	الحديث وعلومه وشروحه	أ	البخاري	٢٥٦	صحيح البخاري (دار التأصيل)	دار التأصيل - القاهرة، الأولى، ١٤٣٣ هـ - ٢٠١٢ م، ١٠ (٩ والفهارس) أجزاء	بطاقة المكتبة الشاملة 1284	المقابلة، وفروق الروايات	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٣٣	الحديث وعلومه وشروحه	أ	مسلم	٢٦١	صحيح مسلم (ترقيم عبد الباقي)	تحقيق محمد فؤاد عبد الباقي [ت ١٣٨٨ هـ]، مطبعة عيسى البابي الحلبي وشركاه، القاهرة، ٥ (متسلسلة الترقيم) (الأخير فهارس) أجزاء	بطاقة المكتبة الشاملة 1727	الأصل في تخريج أحاديث مسلم	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٣٤	الحديث وعلومه وشروحه	أ	مسلم	٢٦١	صحيح مسلم (الطبعة التركية)	تحقيق محمد ذهني أفندي - إسماعيل بن عبد الحميد الحافظ الطرابلسي- أحمد رفعت بن عثمان حلمي القره حصاري - محمد عزت بن عثمان الزعفرانبوليوي- أبو نعمة الله محمد شكري بن حسن الأنقروي، دار الطباعة العامرة - تركيا، ٨ أجزاء	بطاقة المكتبة الشاملة 711	المقابلة	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٣٥	الحديث وعلومه وشروحه	أ	أبو داود	٢٧٥	سنن أبي داود (ت. محيي الدين عبد الحميد)	تحقيق محمد محيي الدين عبد الحميد [ت ١٣٩٢ هـ]، المكتبة العصرية، صيدا - بيروت، ٤ أجزاء	بطاقة المكتبة الشاملة 1726	الأصل في الترقيم	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٣٦	الحديث وعلومه وشروحه	أ	أبو داود	٢٧٥	سنن أبي داود (ت. الأرنؤوط وقره بللي)	تحقيق شعيب الأرنؤوط [ت ١٤٣٨ هـ]- محمد كامل قره بللي، دار الرسالة العالمية، الأولى، ١٤٣٠ هـ - ٢٠٠٩ م، ٧ أجزاء	بطاقة المكتبة الشاملة 117359	المقابلة والحكم	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٣٧	الحديث وعلومه وشروحه	أ	الترمذي	٢٧٩	الجامع (سنن الترمذي)	تُحدَّد	—	التخريج والحكم عند الترمذي	—	مرشّح	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٣٨	الحديث وعلومه وشروحه	أ	النسائي	٣٠٣	المجتبى (السنن الصغرى)	تُحدَّد	—	التخريج	—	مرشّح	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٣٩	الحديث وعلومه وشروحه	أ	ابن ماجه	٢٧٣	سنن ابن ماجه	تحقيق شعيب الأرنؤوط [ت ١٤٣٨ هـ]- عادل مرشد - محمَّد كامل قره بللي - عَبد اللّطيف حرز الله، دار الرسالة العالمية، الأولى، ١٤٣٠ هـ - ٢٠٠٩ م، ٥ أجزاء	بطاقة المكتبة الشاملة 98138	التخريج	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٤٠	الحديث وعلومه وشروحه	أ	مالك بن أنس	١٧٩	الموطأ	تُحدَّد	—	التخريج، وأبواب ما يُكره من الكلام	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٤١	الحديث وعلومه وشروحه	أ	أحمد بن حنبل	٢٤١	المسند	تُحدَّد	—	التخريج والطرق	—	مرشّح	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٤٢	الحديث وعلومه وشروحه	أ	الدارمي	٢٥٥	السنن (مسند الدارمي)	تُحدَّد	—	التخريج، وآثار العلم والكلام	—	للبحث	تُحدَّد	الافتتاحية
مص-٠٤٣	الحديث وعلومه وشروحه	أ	البخاري	٢٥٦	الأدب المفرد	تحقيق محمد فؤاد عبد الباقي [ت ١٣٨٨ هـ]، المطبعة السلفية ومكتبتها - القاهرة، الثانية ١٣٧٩ هـ	بطاقة المكتبة الشاملة 12991	أحاديث الأدب وحفظ اللسان	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٤٤	الحديث وعلومه وشروحه	أ	البيهقي	٤٥٨	شعب الإيمان	تحقيق أبو هاجر محمد السعيد بن بسيوني زغلول، دار الكتب العلمية، بيروت- لبنان، الأولى، ١٤٢١ هـ - ٢٠٠٠ م، ٩ (الأخير فهارس) أجزاء	بطاقة المكتبة الشاملة 748	حفظ اللسان وآداب الكلام	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٤٥	الحديث وعلومه وشروحه	أ	ابن أبي شيبة	٢٣٥	المصنف	تحقيق سعد بن ناصر بن عبد العزيز أبو حبيب الشثري، دار كنوز إشبيليا للنشر والتوزيع، الرياض - السعودية، الأولى، ١٤٣٦ هـ - ٢٠١٥ م، ٢٥ (آخر ٤ فهارس) أجزاء	بطاقة المكتبة الشاملة 333	الآثار المسندة عن الصحابة والتابعين	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٤٦	الحديث وعلومه وشروحه	أ	الدينوري	٣٣٣	المجالسة وجواهر العلم	تحقيق أبو عبيدة مشهور بن حسن آل سلمان، جمعية التربية الإسلامية (البحرين - أم الحصم)، دار ابن حزم (بيروت - لبنان)، الأولى، ١٤١٩ هـ - ١٩٩٨ م، ١٠ (آخر ٢ فهارس) أجزاء	بطاقة المكتبة الشاملة 9948	أخبار البيان والمجالسة المسندة	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية
مص-٠٤٧	الحديث وعلومه وشروحه	أ	ابن حجر	٨٥٢	فتح الباري بشرح صحيح البخاري	تُحدَّد	—	شرح أحاديث البخاري وضبط رواياته	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٤٨	الحديث وعلومه وشروحه	أ	النووي	٦٧٦	المنهاج شرح صحيح مسلم بن الحجاج	تُحدَّد	—	شرح أحاديث مسلم	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٤٩	الحديث وعلومه وشروحه	أ	العيني	٨٥٥	عمدة القاري شرح صحيح البخاري	٢٥ (في ١٢ مجلدا) أجزاء	بطاقة المكتبة الشاملة 5756	شرح البخاري، واللغة والإعراب	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٥٠	الحديث وعلومه وشروحه	أ	القسطلاني	٩٢٣	إرشاد الساري لشرح صحيح البخاري	دار عطاءات العلم - دار ابن حزم، الأولى، ١٤٤٢ هـ - ٢٠٢١ م	بطاقة المكتبة الشاملة 21701	ضبط روايات البخاري	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٥١	الحديث وعلومه وشروحه	أ	ابن عبد البر	٤٦٣	التمهيد لما في الموطأ من المعاني والأسانيد	مؤسسة الفرقان للتراث الإسلامي - لندن، الأولى، ١٤٣٩ هـ - ٢٠١٧ م، ١٧ (الأخير فهارس) أجزاء	بطاقة المكتبة الشاملة 236	الخلاف في معنى «إن من البيان لسحرًا»	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية
مص-٠٥٢	الحديث وعلومه وشروحه	أ	ابن عبد البر	٤٦٣	الاستذكار	دار الكتب العلمية - بيروت، الأولى، ١٤٢١ - ٢٠٠٠، ٩ أجزاء	بطاقة المكتبة الشاملة 1722	فقه أحاديث الموطأ	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٥٣	الحديث وعلومه وشروحه	أ	ابن الصلاح	٦٤٣	معرفة أنواع علم الحديث (مقدمة ابن الصلاح)	تحقيق عبد اللطيف الهميم - ماهر ياسين الفحل، دار الكتب العلمية، بيروت - لبنان، الأولى، ١٤٢٣ هـ - ٢٠٠٢ م	بطاقة المكتبة الشاملة 23799	أصول الحكم على الحديث	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٥٤	الحديث وعلومه وشروحه	أ	السيوطي	٩١١	تدريب الراوي في شرح تقريب النواوي	دار طيبة، ٢ أجزاء	بطاقة المكتبة الشاملة 9329	مصطلح الحديث	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٥٥	الحديث وعلومه وشروحه	أ	ابن حجر	٨٥٢	نزهة النظر في توضيح نخبة الفكر	تحقيق د عبد المحسن بن محمد القاسم، الأولى، ١٤٤٢ هـ -٢٠٢١ م	بطاقة المكتبة الشاملة 316	مصطلح الحديث	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٥٦	الحديث وعلومه وشروحه	أ	الألباني	١٤٢٠	سلسلة الأحاديث الصحيحة	مكتبة المعارف للنشر والتوزيع، الرياض، الأولى لمكتبة المعارف، ٧ أجزاء	بطاقة المكتبة الشاملة 9442	الحكم على الأحاديث خارج الصحيحين	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٥٧	الحديث وعلومه وشروحه	أ	الألباني	١٤٢٠	صحيح سنن أبي داود	مؤسسة غراس للنشر والتوزيع، الكويت، الأولى، ١٤٢٣ هـ - ٢٠٠٢ م، ٨ أجزاء	بطاقة المكتبة الشاملة 25881	الحكم على أحاديث أبي داود	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٥٨	الحديث وعلومه وشروحه	أ	ابن رجب	٧٩٥	جامع العلوم والحكم	تحقيق شعيب الأرناؤوط [ت ١٤٣٨ هـ]- إبراهيم باجس، مؤسسة الرسالة - بيروت، السابعة، ١٤١٧ هـ - ١٩٩٧ م، ٢ (في مجلد واحد) أجزاء	بطاقة المكتبة الشاملة 4268	شرح أحاديث جوامع الكلم والأدب	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٥٩	الحديث وعلومه وشروحه	أ	النووي	٦٧٦	رياض الصالحين	دار ابن كثير للطباعة والنشر والتوزيع، دمشق - بيروت، الأولى، ١٤٢٨ هـ - ٢٠٠٧ م، ١ أجزاء	بطاقة المكتبة الشاملة 2348	أبواب حفظ اللسان وآداب الكلام	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٦٠	الحديث وعلومه وشروحه	أ	النووي	٦٧٦	الأذكار	تحقيق محيي الدين مستو [ت ١٤٤٢ هـ]، دار ابن كثير، دمشق - بيروت، الثانية،١٤١٠ هـ - ١٩٩٠ م	بطاقة المكتبة الشاملة 13566	آداب الكلام والسلام والخطاب	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٦١	الحديث وعلومه وشروحه	أ	السخاوي	٩٠٢	المقاصد الحسنة في بيان كثير من الأحاديث المشتهرة على الألسنة	مكتبة الخانجي - مصر	بطاقة المكتبة الشاملة 1263	حال الأقوال المشتهرة	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٦٢	الحديث وعلومه وشروحه	ب	العجلوني	١١٦٢	كشف الخفاء ومزيل الإلباس	تُحدَّد	—	حال الأقوال المشتهرة	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٦٣	الحديث وعلومه وشروحه	أ	العراقي	٨٠٦	المغني عن حمل الأسفار (تخريج أحاديث الإحياء)	دار ابن حزم، بيروت - لبنان، الأولى، ١٤٢٦ هـ - ٢٠٠٥ م	بطاقة المكتبة الشاملة 21550	تخريج أحاديث آفات اللسان	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٦٤	الحديث وعلومه وشروحه	أ	مجد الدين ابن الأثير	٦٠٦	جامع الأصول في أحاديث الرسول	تُحدَّد	—	جمع ألفاظ الحديث في مواضعها	—	للبحث	تُحدَّد	الافتتاحية
