المصطلح	التعريف	أول ورود	الرسم المعتمد	المقابل الإنجليزي	البدائل الممنوعة	العلاقة المفهومية	الحالة
المقام	مجموع ظروف الكلام: المكان والزمان والمناسبة والعلاقة بين المتكلم والمخاطَب.		المقام	Speech context			معرَّف في المسرد؛ يُكمَّل
مقتضى الحال	ما يستدعيه المقام من إيجاز أو إطناب، وتقديم أو تأخير، ولين أو حزم.		مقتضى الحال	Requirements of the situation			معرَّف في المسرد؛ يُكمَّل
الملكة الشفهية	قدرة راسخة على إنتاج الكلام المناسب تلقائيًّا، تُكتسب بالسماع والمحاكاة والتكرار.		الملكة الشفهية	Oral competence	«مهارة التحدّث» بديلًا منها	المرتبة الثانية من المراتب الأربع، وغاية الكتاب	معرَّف في المسرد؛ يُكمَّل
الموقف	حالة تدريبية محددة بأشخاصها ومكانها. أما «المقام» فمجموع الظروف العامة.		الموقف	Training situation			معرَّف في المسرد؛ يُكمَّل
النبرة	ما يحمله الصوت من لين أو حزم أو ترحيب أو جدّ، فوق معنى الألفاظ.		النبرة	Tone of voice			معرَّف في المسرد؛ يُكمَّل
النموذج السداسي	من يتكلم؟ ولمن؟ وماذا يقول؟ ولماذا؟ وأين ومتى؟ وكيف؟		النموذج السداسي	The six-question model			معرَّف في المسرد؛ يُكمَّل
الوقف والابتداء	اختيار مواضع السكت في الجملة المنطوقة بما يحفظ المعنى ولا يقطعه.		الوقف والابتداء	Pausing and resuming			معرَّف في المسرد؛ يُكمَّل
الكلام الناجح	كلامٌ عربيٌّ صحيحٌ طبيعيٌّ مناسبٌ للمقام يبلغ غرضه		الكلام الناجح	Successful speech			مقترح؛ يُقرّ
الفصحى المنطوقة	الفصحى المعاصرة في مقاماتها الشفهية: المحاضرة والندوة والمقابلة والخطبة والحوار		الفصحى المنطوقة	Spoken MSA			مقترح؛ يُقرّ
العربية المعاصرة			العربية المعاصرة	Contemporary Arabic			يُعرَّف
الغرض			الغرض	Purpose			يُعرَّف
الأثر			الأثر	Effect			يُعرَّف
الأداء	المرتبة الثالثة: إخراج الكلام في لحظته تحت ضغط الموقف		الأداء	Performance			مقترح؛ يُقرّ
الإيقاع			الإيقاع	Rhythm			يُعرَّف
الصحة	سلامة الجملة في نحوها وصرفها ومعجمها ونطقها؛ من المفاهيم الخمسة		الصحة	Correctness			مقترح؛ يُقرّ
الطبيعية	أن يُقال الكلام كما يقوله أهل العربية حين يتكلّمون به؛ من المفاهيم الخمسة		الطبيعية	Naturalness			مقترح؛ يُقرّ
المناسبة	ملاءمة الكلام للمخاطب والمقام والغرض؛ من المفاهيم الخمسة		المناسبة	Appropriateness			مقترح؛ يُقرّ
